cv_id,position_idx,organization,linkedin,position,startDate,endDate,status,department,seniority,title_length,title_word_count,detected_language
59,0,Giganet Services GmbH,,Geschäftsführer bei Giganet Services GmbH,2024-09,,ACTIVE,Other,Management,41,5,German
59,1,Expert Link GmbH,https://www.linkedin.com/company/expert-link-gmbh,Owner,2010-02,,ACTIVE,Other,Management,5,1,Other
60,0,moodley,https://www.linkedin.com/company/moodley,Strategic Design Director,2021-09,,ACTIVE,Marketing,Director,25,3,Spanish
61,0,FC Bayern München,https://www.linkedin.com/company/fcbayern,Museumspädagoge,2024-10,,ACTIVE,Other,Professional,15,1,Other
61,1,Vulkankultour GmbH,,Geschäftsführer,2005-06,,ACTIVE,Other,Management,15,1,German
62,0,Nextwo Co.,https://www.linkedin.com/company/nextwo.ae,Technical Team Lead,2024-02,,ACTIVE,Information Technology,Lead,19,3,English
63,0,WIDMER Skippers,https://www.linkedin.com/company/widmerskippers,Managing Director,2017,,ACTIVE,Other,Management,17,2,English
64,0,Augustin Entsorgung Holding GnbH,,Gesellschafter,1993-01,,ACTIVE,Other,Management,14,1,Other
65,0,VTA Verfahrenstechnische Anlagen GmbH & Co. KG,https://www.linkedin.com/company/vta-process,Maschinenbautechniker,2008-09,,ACTIVE,Other,Professional,21,1,Other
66,0,Henkel,https://www.linkedin.com/company/henkel,Technical Customer Service Manager - Flexible Packaging,2021-01,,ACTIVE,Customer Support,Lead,55,7,English
67,0,Selecty,https://www.linkedin.com/company/selecty-hr,Java Software Engineer,2023-01,,ACTIVE,Information Technology,Professional,22,3,English
68,0,Fieldspace Property Group,https://www.linkedin.com/company/fieldspace-property-group,New Business Manager,2024-06,,ACTIVE,Business Development,Lead,20,3,English
69,0,Atlassian,https://www.linkedin.com/company/atlassian,Strategic Engagement Manager,2023-06,,ACTIVE,Business Development,Lead,28,3,English
70,1,EDAG Engineering GmbH,,Projektmanager,1987,,ACTIVE,Project Management,Professional,14,1,English
72,0,Austria Wirtschaftsservice,https://www.linkedin.com/company/austria-wirtschaftsservice,Head of aws Preseed and Seedfinancing - Innovative Solutions,2023-05,,ACTIVE,Other,Lead,60,9,Turkish
72,4,Vitamin Well AB,https://www.linkedin.com/company/vitamin-well,Brand Ambassador,2019-09,,ACTIVE,Marketing,Professional,16,2,Other
73,0,Murata Vios,,Director of Product Management,2022-01,,ACTIVE,Project Management,Director,30,4,English
74,0,Children's Wisconsin,https://www.linkedin.com/company/childrenswi,Executive Director of Therapies and Developmental Services,2024-10,,ACTIVE,Other,Director,58,7,English
76,0,Axians NEO Solutions & Technology GmbH,,Projektmanager,2025-01,,ACTIVE,Project Management,Professional,14,1,English
77,0,Körber Technologies,https://www.linkedin.com/company/körber-technologies,Project Engineer Process Technology - Future Farming,2024-07,,ACTIVE,Information Technology,Professional,52,7,English
78,0,SOR Eğitim Danışmanlık,https://www.linkedin.com/company/sor-eğitim-danışmanlık,Kurucu Ortak,2021-12,,ACTIVE,Other,Management,12,2,Other
78,1,Serbest çalışan,,Danışmanlık,2017-01,,ACTIVE,Consulting,Professional,11,1,Turkish
79,0,Cranfield University School of Management,,Digital Marketing Manager,2008-06,,ACTIVE,Marketing,Professional,25,3,English
80,0,"Bureau Maaiveld, het breed inzetbare bureau voor ontwikkeling",,Eigenaar,2015-01,,ACTIVE,Other,Management,8,1,Other
80,1,Theatergroep Maaistoff,,Theatermaker,2017-04,,ACTIVE,Other,Professional,12,1,Other
80,2,Het Betere Goede Gesprek,https://www.linkedin.com/company/het-betere-goede-gesprek,Trainer/coach,2017-06,,ACTIVE,Project Management,Professional,13,1,Other
80,3,Dubbel E Acteerservice B.V.: voor Echte Trainingsacteurs,https://www.linkedin.com/company/dubbel-e-acteerservice,Trainingsacteur en trainer,2019-01,,ACTIVE,Consulting,Professional,26,3,Other
80,4,Ministerie van Justitie en Veiligheid - NIFP,https://www.linkedin.com/company/ministerie-van-justitie-en-veiligheid-,Co trainer/trainingsacteur,2006-08,,ACTIVE,Other,Professional,26,2,Other
80,5,Theater A la Carte,,Acteur en theatermaker,2015-01,,ACTIVE,Other,Professional,22,3,Other
80,7,Hogeschool Utrecht,,Trainer/docent,2019-09,,ACTIVE,Human Resources,Professional,14,1,Other
80,8,Diverse opdrachtgevers,,"Freelance acteur, regisseur en scriptschrijver",1995,,ACTIVE,Other,Professional,46,5,French
81,0,Byldis,https://www.linkedin.com/company/byldis,Procurement Manager Strategische Inkoop,2024-02,,ACTIVE,Purchasing,Professional,39,4,English
81,1,Byldis,https://www.linkedin.com/company/byldis,Strategisch inkoper,2024-02,,ACTIVE,Purchasing,Professional,19,2,Other
83,0,Rüdisühli Rechtsanwälte Part mbB,,Partner,2019-07,,ACTIVE,Business Development,Management,7,1,Other
84,0,Naval Sea Systems Command (NAVSEA) SUPSHIP San Diego,,Lead Naval Architect,2024-11,,ACTIVE,Other,Lead,20,3,English
85,0,Nidec Control Techniques,https://www.linkedin.com/company/nidecdrives,Inside Sales,1988-08,,ACTIVE,Sales,Professional,12,2,French
86,0,"Detlef Meyer ""DM108.de - LEH Vertrieb""",,Key-Account-Manager,2020-08,,ACTIVE,Sales,Professional,19,1,English
89,0,s h e d,https://www.linkedin.com/company/s-h-e-d,Managing Director,2011-11,,ACTIVE,Other,Management,17,2,English
90,0,Paul Schockemöhle Logistics GmbH & Co. KG,https://www.linkedin.com/company/paul-schockemoehle-logistics-group,Berufskraftfahrer,2009-02,,ACTIVE,Other,Professional,17,1,Other
91,0,HEINZ-GLAS Produktion GmbH & Co KGaA,,Head of Glass Technology,2013,,ACTIVE,Other,Lead,24,4,French
93,0,Nagel-Group,https://www.linkedin.com/company/nagel-group,Key-Account-Manager,2022-01,,ACTIVE,Sales,Professional,19,1,English
95,0,Dow Jones Local Media Group,,Accounting Manager,2004-10,,ACTIVE,Other,Lead,18,2,English
96,0,TTS NMF GmbH,,Interims Technical Manager,2014-02,,ACTIVE,Information Technology,Lead,26,3,English
97,0,"MADELINE STUART & ASSOCIATES, INC.",https://www.linkedin.com/company/madeline-stuart-&-associates-inc.,Project Manager,2022-04,,ACTIVE,Project Management,Professional,15,2,English
98,0,Cassini Consulting AG,https://www.linkedin.com/company/cassini-consulting-ag,Management Consultant Information Security and Privacy,2022-12,,ACTIVE,Consulting,Professional,54,6,English
99,0,Dr. Zanda Martens MdB | Büro Düsseldorf,,Büroleiter | Pressesprecher,2021-12,,ACTIVE,Administrative,Lead,27,3,German
101,0,Stadt Zug,https://www.linkedin.com/company/stadt-zug,Departementssekretär Finanz,2005-09,,ACTIVE,Other,Professional,27,2,French
102,0,Aximpro,https://www.linkedin.com/company/aximpro,Managing Director,2024-10,,ACTIVE,Other,Management,17,2,English
105,0,PwC Switzerland,https://www.linkedin.com/company/pwc_switzerland,Senior Manager Strategy & Business Transformation Health,2023-03,,ACTIVE,Consulting,Senior,56,7,English
105,1,Berner Fachhochschule BFH,,Lehrbeauftragter,2024-10,,ACTIVE,Consulting,Lead,16,1,French
106,0,Deloitte,https://www.linkedin.com/company/deloitte,Manager | Mergers & Acquisitions,2022-12,,ACTIVE,Other,Professional,32,5,English
107,0,Roche Pharmaceuticals,https://www.linkedin.com/company/roche,Technical Transfer Leader,2010-12,,ACTIVE,Consulting,Lead,25,3,French
108,0,Helly Hansen,https://www.linkedin.com/company/helly-hansen,Account manager / Sælger Helly Hansen Workwear Sjælland & Bornholm,2024-01,,ACTIVE,Sales,Professional,66,10,English
109,0,agn Gruppe,https://www.linkedin.com/company/agn-niederberghaus-&-partner-gmbh,Geschäftsführender Gesellschafter,2004-01,,ACTIVE,Other,Management,33,2,German
110,0,Peter van Setten Transport B.V.,https://www.linkedin.com/company/p-van-setten-transport-b-v,Director,1996-02,,ACTIVE,Other,Director,8,1,English
112,0,Herz Transporte und Spedition,https://www.linkedin.com/company/herz-transporte-und-spedition,Unternehmensinhaber,2016-11,,ACTIVE,Other,Management,19,1,Other
113,0,KZVK,https://www.linkedin.com/company/kzvk,"Board Member, CFO / Asset Management",2018-04,,ACTIVE,Other,Management,36,6,Other
114,0,Tirol Werbung,https://www.linkedin.com/company/tirol-werbung,CEO,2022-05,,ACTIVE,Other,Management,3,1,Other
114,1,Tirol Werbung,https://www.linkedin.com/company/tirol-werbung,Arbeitgeber,2022-05,,ACTIVE,Other,Management,11,1,German
115,0,Amazon Web Services (AWS),https://www.linkedin.com/company/amazon-web-services,Finance - AWS Global Private Pricing,2022-05,,ACTIVE,Other,Professional,36,6,Other
116,0,Harmonic,https://www.linkedin.com/company/harmonic,Software Developer,2020-07,,ACTIVE,Information Technology,Professional,18,2,English
117,0,SSI SCHÄFER,https://www.linkedin.com/company/ssischaefer,Vice President Global Head Order Processing / Prokurist,2020-04,,ACTIVE,Other,Management,55,8,German
119,0,DDV Mediengruppe,https://www.linkedin.com/company/ddv-mediengruppe,CEO Morgenpost & TAG 24 | Vertriebsleiter Sächsische Zeitung / Lesermark | CEO MVD Ökoflitzer,1991-10,,ACTIVE,Other,Lead,93,15,German
120,0,Equipnor AS,https://www.linkedin.com/company/equipnor-as,Key Account / Supply Manager,2002-09,,ACTIVE,Other,Lead,28,5,English
120,1,Hellemyr Eiendom AS,,Styreleder / Partner,2003-03,,ACTIVE,Other,Management,20,3,French
124,0,Mercedes-Benz AG,https://www.linkedin.com/company/mercedes-benz_ag,Projektleiter Qualität HV-Batterie,2019-12,,ACTIVE,Project Management,Lead,34,3,German
125,0,Giesecke+Devrient,https://www.linkedin.com/company/giesecke-devrient,Global Director Head of Portfolio and Business Development Global Service,2021-07,,ACTIVE,Business Development,Director,73,10,English
127,0,Thayer Academy,,Summer Camp Counselor,2019-06,,ACTIVE,Other,Professional,21,3,Other
128,0,Davidson Kempner Capital Management,https://www.linkedin.com/company/davidson-kempner-capital-management,Project Lead for Swap Re-engineering Project,2024-09,,ACTIVE,Project Management,Lead,44,6,English
128,1,FILLY BROOK LTD,https://www.linkedin.com/company/filly-brook-ltd,Business Owner,2019-03,,ACTIVE,Other,Management,14,2,English
129,0,Frankfurt School of Finance & Management,,Kanzler / CFO,2017-11,,ACTIVE,Other,Management,13,3,French
129,1,Frankfurt School of Finance & Management,,Kaufmännische Leiterin,2015-04,,ACTIVE,Other,Lead,22,2,German
129,2,Frankfurt School of Finance & Management,,Head of Accounting & Controlling,2009-01,,ACTIVE,Other,Lead,32,5,Other
129,3,Frankfurt School of Finance & Management,,"Member of the Board, Frankfurt School Stiftung",2010-03,,ACTIVE,Other,Management,46,7,Other
131,0,Lebenhilfe Augsburg,,Personalleiter,2025-04,,ACTIVE,Human Resources,Lead,14,1,German
131,1,Selbstständig,,Rechtsanwalt,1995-06,,ACTIVE,Other,Professional,12,1,Other
132,0,The Johns Hopkins University,,Assistant Director of Prospect Management and Data Analytics,2023-07,,ACTIVE,Other,Director,60,8,English
132,1,michaelbtager.com,,"Writer, Editor, Publisher",2012-08,,ACTIVE,Marketing,Professional,25,3,Other
133,0,Jugendmusikschule Württembergisches Allgäu,,"Klavierlehrer, Korrepetitor",2001-09,,ACTIVE,Other,Professional,27,2,French
134,0,Alexander Hughes Germany / Alexander Hughes International,https://www.linkedin.com/company/alexander-hughes,Managing Partner / Group Managing Board,2006-02,,ACTIVE,Other,Management,39,6,Other
135,0,Queensland Corrective Services,https://www.linkedin.com/company/queensland-corrective-services,Manager,2025-01,,ACTIVE,Other,Professional,7,1,English
136,0,Black Forest Business Solutions,,Founder and Senior Partner,2012-01,,ACTIVE,Consulting,Management,26,4,German
137,0,LÖHR & BECKER Aktiengesellschaft,,Vorsitzender des Vorstandes,2002-06,,ACTIVE,Other,Management,27,3,German
138,0,FTI Engineering Network GmbH,https://www.linkedin.com/company/fti-engineering-network-gmbh,Head of Engineering,2022-07,,ACTIVE,Information Technology,Lead,19,3,English
140,0,FedEx Express,https://www.linkedin.com/company/fedex,District Sales manager,1995-06,,ACTIVE,Sales,Lead,22,3,English
141,0,EFG Bank,https://www.linkedin.com/company/efginternational,Assistant Treasurer Real Estate,2017-04,,ACTIVE,Other,Junior,31,4,English
141,1,BSI Bank,https://www.linkedin.com/company/bsi-s-a-,Assistant Treasurer Real Estate,2008-07,,ACTIVE,Other,Junior,31,4,English
142,0,NP4 GmbH,https://www.linkedin.com/company/np4-gmbh,Managing Dircector,1997-11,,ACTIVE,Other,Management,18,2,Other
143,0,SouthEast Bank,https://www.linkedin.com/company/southeast-bank,Director of Business Analysts and Special Projects,2025-02,,ACTIVE,Information Technology,Director,50,7,English
144,0,EDAG Austria,,Robotertechniker,2020,,ACTIVE,Information Technology,Professional,16,1,Other
145,0,Sozialversicherung der Selbständigen,https://www.linkedin.com/company/deinesvs,OÖ Koordinator für das Team der Bereiche Beschlagwortung / Zustellproblem,2023-01,,ACTIVE,Purchasing,Lead,73,10,German
145,1,Sozialversicherung der Selbständigen,https://www.linkedin.com/company/deinesvs,Sachbearbeiter in der Beschlagwortung / Rückpost,2020-08,,ACTIVE,Purchasing,Professional,48,6,German
146,0,IBM iX DACH,https://www.linkedin.com/company/ibm-ix-dach,Head of Content & Workflows,2024-01,,ACTIVE,Marketing,Lead,27,5,Other
146,1,IBM iX DACH,https://www.linkedin.com/company/ibm-ix-dach,Head Of Business Consulting | Content & Digital Assets,2022-04,,ACTIVE,Other,Lead,54,9,English
147,0,SCIERIE COLLIGNON,https://www.linkedin.com/company/scierie-collignon,Scierie collignon,2015-01,,ACTIVE,Other,Professional,17,2,Other
149,0,Deichmann SE,,Senior Microsoft 365 Engineer,2024-04,,ACTIVE,Information Technology,Senior,29,4,English
150,0,ZF Group,https://www.linkedin.com/company/zf-group,Product Manager Online Catalog & Shop,2024-04,,ACTIVE,Other,Professional,37,6,English
151,0,ISP Stahlbauplanung,,Diplom Bauingenieur,1998-11,,ACTIVE,Other,Professional,19,2,German
152,0,JPMorgan Chase & Co.,https://www.linkedin.com/company/jpmorganchase,"Executive Director, Marketing Strategy Director",2014-07,,ACTIVE,Marketing,Management,47,5,English
153,0,VRG GmbH,,Leiter Controlling und Rechnungswesen,1990-01,,ACTIVE,Other,Lead,37,4,German
154,0,"Liberty Civil Construction, LLC",,President,2016-08,,ACTIVE,Other,Management,9,1,French
155,0,Kreisverwaltung Darmstadt-Dieburg,,"Architektin, Fachgebietsleitung Technisches und Strategisches Gebäudemanagement",2024-10,,ACTIVE,Project Management,Lead,79,6,French
157,0,VIRTWO,https://www.linkedin.com/company/virtwo,Co-CEO,2022-10,,ACTIVE,Other,Management,6,1,Other
160,0,Bogner Construction Company,https://www.linkedin.com/company/bogner-construction-company,Vice President,1997-05,,ACTIVE,Other,Management,14,2,French
161,0,Hospital Management Group GmbH,https://www.linkedin.com/company/hospital-management-group-gmbh,Krankenhausgeschäftsführer,2021,,ACTIVE,Other,Management,26,1,German
162,0,Atos Information Technology GmbH,https://www.linkedin.com/company/atos-information-technology-gmbh,Co-Head of Bid Management CE,2023-10,,ACTIVE,Sales,Lead,28,5,Other
162,1,Atos Information Technology GmbH,https://www.linkedin.com/company/atos-information-technology-gmbh,Bid Manager,2011-10,,ACTIVE,Sales,Lead,11,2,English
163,0,GO! Express & Logistics,https://www.linkedin.com/company/go-express-&-logistics,Leiter IT-Service- und Betriebsmanagement,2025-04,,ACTIVE,Information Technology,Lead,41,4,German
164,0,Independent Contractor,,Senior Human Resources Consultant,2022-04,,ACTIVE,Consulting,Senior,33,4,English
165,0,Telenor,https://www.linkedin.com/company/telenor-group,Senior Legal Advisor,2023-09,,ACTIVE,Other,Senior,20,3,English
166,0,TZ Garsten,,Physiotherapeutin,2007-10,,ACTIVE,Other,Professional,17,1,Other
167,0,Fraunhofer Institute of Machine Tools and Forming Technology,https://www.linkedin.com/company/fraunhoferiwu,Research Associate,2019-10,,ACTIVE,Consulting,Junior,18,2,Other
168,0,medpirica,,Geschäftsführender Gesellschafter,2011-04,,ACTIVE,Other,Management,33,2,German
169,0,Harvey Nash,https://www.linkedin.com/company/harvey-nash,Finance Director Central Europe 🇩🇪🇨🇭🇵🇱,2023-06,,ACTIVE,Other,Director,38,5,English
170,0,U.S. Department of Labor,https://www.linkedin.com/company/u-s-department-of-labor,Senior Program Analyst (Immigration),2022-02,,ACTIVE,Other,Senior,36,4,English
171,0,Benteler Distribution,,Betriebsleiter,2012-09,,ACTIVE,Other,Lead,14,1,German
172,0,ZF Group,https://www.linkedin.com/company/zf-group,Chief Executive Officer,2023-01,,ACTIVE,Other,Management,23,3,English
173,0,Mediaschneider AG,https://www.linkedin.com/company/mediaschneider-ag,Chief Strategy Officer (CSO),2023-01,,ACTIVE,Other,Management,28,4,English
176,0,AVL,https://www.linkedin.com/company/avl,Software Developer,2011-01,,ACTIVE,Information Technology,Professional,18,2,English
177,0,Vejle Brand,https://www.linkedin.com/company/vejlebrand,CTO,2024-03,,ACTIVE,Information Technology,Management,3,1,Other
177,1,Kodestuen,https://www.linkedin.com/company/kodestuen,Self-Employed at Kodestuen ApS,2009-05,,ACTIVE,Other,Professional,30,4,French
179,0,ACE Auto Club Europa e. V.,https://www.linkedin.com/company/ace-auto-club-europa-e-v-,Projektkoordinator,2022-01,,ACTIVE,Project Management,Lead,18,1,German
179,1,ACE Auto Club Europa e. V.,https://www.linkedin.com/company/ace-auto-club-europa-e-v-,"Regionalbeauftragter Club Sachsen, Thüringen, Sachsen-Anhalt Süd",2021-06,,ACTIVE,Other,Lead,64,6,Other
180,0,Kroon & de Koning BV,https://www.linkedin.com/company/kroon-de-koning,Hoofd Bouwbureau,2021-09,,ACTIVE,Other,Lead,16,2,Other
181,0,Siemens Energy,https://www.linkedin.com/company/siemens-energy,Head of Package & Installation Design IGC,2023-09,,ACTIVE,Project Management,Lead,41,7,French
182,0,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH,https://www.linkedin.com/company/gizgmbh,Director General Sector and Global Programmes,2025-05,,ACTIVE,Other,Director,45,6,English
182,1,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH,https://www.linkedin.com/company/gizgmbh,Landesdirektor,2023-09,,ACTIVE,Other,Director,14,1,French
183,0,Ground2air Assistance,,Station Manager at Ground2Air in Palma de Mallorca,2021-05,,ACTIVE,Other,Lead,50,8,English
184,0,St. Walburga Krankenhaus Meschede GmbH,https://www.linkedin.com/company/st-walburga-krankenhaus-meschede-gmbh,Bereichs PDL,2005-12,,ACTIVE,Other,Lead,12,2,Other
186,0,TouchPoint Communication AG,https://www.linkedin.com/company/touchpoint-communication-ag,Geschäftsinhaber,1985,,ACTIVE,Other,Management,16,1,Other
187,0,APOGEPHA Arzneimittel GmbH,https://www.linkedin.com/company/apogepha-arzneimittel-gmbh-dresden,Geschäftsführer CFO,2024-03,,ACTIVE,Other,Management,19,2,German
189,0,ALPS ALPINE Europe,https://www.linkedin.com/company/alps-alpine-europe,Senior Project Leader,2021-09,,ACTIVE,Project Management,Lead,21,3,English
192,0,Alium Technology AG,,Verwaltungsratsvorsitzender,2015-01,,ACTIVE,Other,Management,27,1,German
193,0,HWK Erfurt,,Dozent/ Ausbilder,2005-11,,ACTIVE,Other,Professional,17,2,German
194,0,VID vitenskapelige høgskole,,"Teamleder arkitektur, drift og sikkerhet IT-seksjonen VID",2019-06,,ACTIVE,Information Technology,Lead,57,7,French
